4KHz X(mg),Y(mg),Z(mg)
4.88,-1.19,2.56
4.34,-3.95,0.92
2.23,-2.66,-0.33
3.20,-2.46,-1.43
4.04,-3.30,0.29
2.52,-1.84,0.76
0.37,0.62,0.76
0.29,-3.63,3.65
0.31,-3.52,3.36
0.62,-4.41,-2.42
1.89,0.96,-2.85
1.05,2.85,-0.20
0.61,-0.25,2.81
1.41,0.29,0.59
2.03,2.62,-1.45
1.04,3.16,-0.04
-2.91,3.34,-0.66
-2.19,1.46,-2.40
-2.99,-2.30,1.19
-2.09,-6.45,0.29
-2.19,-5.96,0.18
-2.70,-0.39,2.44
-2.54,3.36,1.09
-2.85,0.64,-0.21
-4.65,-0.29,-0.78
-5.21,-2.05,-0.16
-2.32,-3.57,1.09
-0.06,-0.49,0.20
1.45,-2.75,1.05
0.74,-3.28,-1.23
1.41,2.60,-3.01
1.76,4.26,-0.51
-1.25,0.45,1.21
-2.87,1.97,-1.99
-0.43,3.30,-0.62
0.47,2.40,0.02
0.08,0.08,0.47
-1.93,-2.44,1.66
0.57,0.31,2.73
1.56,3.18,0.37
2.97,-0.20,-1.58
1.74,-0.92,-0.72
0.51,-2.09,1.21
-2.30,-4.12,1.68
-1.23,-1.89,0.53
-1.27,-3.52,-1.27
-1.37,-2.91,-1.76
-1.56,-2.79,0.39
1.74,2.09,3.59
4.06,5.00,2.54
2.11,1.41,3.12
-0.70,-5.37,0.98
-3.36,1.11,0.51
-4.36,3.14,5.33
-0.57,-1.45,4.14
-1.13,1.80,-0.47
-3.46,1.78,-1.37
-2.95,-1.29,-2.25
-0.72,-1.35,0.78
1.13,-2.89,0.21
-1.70,0.08,2.73
0.29,0.06,1.99
1.72,-2.13,1.19
0.27,-2.60,1.50
-0.12,-0.66,0.98
-0.20,-0.55,0.21
3.40,1.86,0.41
3.42,2.97,4.84
0.12,-1.07,-0.23
1.33,-1.39,2.30
2.09,-0.59,-0.43
3.32,0.00,-0.53
1.50,2.29,0.88
0.45,2.09,-0.92
-1.27,-3.44,-0.68
-0.94,-2.44,1.29
0.35,-5.49,1.72
-1.84,-0.76,2.99
2.25,-1.74,3.65
3.14,1.93,-0.02
0.18,2.48,0.47
-0.20,-0.55,-0.70
1.21,-0.06,-2.38
2.62,3.44,-1.29
4.63,1.56,-1.89
0.12,-2.03,1.02
-1.76,-5.02,2.81
-0.49,-0.76,-3.61
-0.02,-0.74,0.53
-2.44,-1.89,2.56
-2.25,-0.59,0.74
0.14,0.98,1.46
-1.23,-3.20,3.65
-1.09,-1.46,1.23
-1.13,-1.02,1.27
2.54,2.17,2.81
0.49,1.13,1.23
0.00,-1.25,-0.41
-2.03,1.33,-0.41
-1.23,3.73,-0.41
-1.82,1.41,-0.31
0.14,0.66,-0.72
0.72,0.80,1.07
2.46,-1.13,-0.62
-0.08,0.70,-0.80
-2.30,2.21,-2.93
-0.04,2.58,-3.77
2.54,0.98,-1.91
0.27,3.24,1.52
-1.39,1.23,2.99
-2.13,5.66,2.30
0.31,4.55,1.97
-1.80,4.22,0.45
1.95,-0.27,-1.46
1.04,-2.29,-0.12
1.48,-2.27,0.92
3.91,2.07,2.54
1.86,4.96,1.39
1.09,1.45,-0.88
1.64,1.84,0.14
3.07,2.36,-1.54
-2.11,3.77,-1.13
-0.31,1.39,-0.94
-2.50,-2.34,0.18
-1.35,1.07,0.12
-0.14,1.19,-0.61
1.27,-1.29,-1.09
1.29,1.62,2.32
-1.19,1.91,2.46
-3.32,-0.49,0.80
-0.62,-0.53,3.54
-1.43,-2.58,3.40
-0.41,-2.87,0.78
1.19,1.95,-0.47
0.00,1.43,-0.66
1.11,-3.71,0.45
0.92,-0.76,-0.82
1.87,3.63,-1.48
2.99,0.82,0.23
1.41,0.04,0.94
0.37,-0.84,0.23
0.70,1.97,-1.07
-1.76,1.68,0.33
-1.25,-2.13,2.17
-0.06,0.55,1.05
-0.84,-0.98,2.05
1.07,2.27,0.66
1.11,4.41,-6.02
0.96,0.12,0.23
2.21,1.43,0.33
-0.51,-1.29,-0.39
-1.46,-2.52,0.37
0.76,-2.05,2.75
1.35,-3.38,2.81
2.36,1.74,0.25
3.34,1.99,-1.15
0.41,2.38,0.70
-1.07,-1.66,0.39
2.30,-3.81,0.76
3.20,0.92,-0.10
-0.49,3.05,-1.43
-4.57,1.70,2.77
-4.57,1.15,2.17
-2.95,-1.29,-0.23
-1.82,-1.97,0.12
-1.64,-3.59,1.19
-1.02,-1.33,1.05
0.41,-0.64,3.16
-0.37,-1.76,-0.23
-0.35,-0.20,2.40
2.07,-1.62,5.16
4.67,1.02,4.10
4.43,1.58,1.72
0.45,-1.41,-0.86
-0.61,-4.80,-0.74
2.30,-1.54,-3.81
1.54,-1.50,-1.87
-0.62,-0.23,-1.93
-1.50,-5.00,-1.89
-2.54,-1.80,0.51
-3.40,0.12,1.41
-3.09,-1.02,-0.29
-1.70,-2.64,-1.07
-1.17,-1.33,-1.87
0.68,3.95,-1.19
0.21,-0.41,1.80
0.06,4.04,3.54
-1.41,3.89,1.11
-1.17,0.70,-0.39
2.17,2.23,1.21
-1.82,1.02,1.31
-0.51,1.27,2.62
0.35,0.23,4.16
0.20,0.43,0.68
1.02,0.06,-1.99
-2.13,-0.45,-0.23
1.78,0.61,-1.78
0.98,2.07,-1.31
2.25,-0.35,1.11
1.72,-0.29,0.10
0.80,0.04,-0.53
-2.23,0.55,-0.72
-2.87,0.33,0.70
-2.93,-1.84,2.75
-2.13,-0.25,0.78
-0.43,0.98,-3.28
1.54,-1.41,-1.09
2.56,-3.01,-1.13
1.00,0.12,-2.38
-2.48,-0.29,-2.42
-2.75,1.00,-1.21
-1.23,1.33,-1.07
-0.66,-0.90,0.23
2.56,-2.17,0.76
0.35,-2.03,-1.39
0.70,-0.98,1.52
0.25,1.35,1.66
-0.41,0.64,0.20
0.21,1.82,1.41
1.58,0.51,0.61
0.92,-3.28,-0.70
1.37,-2.44,-1.13
1.21,1.05,3.12
-0.47,-0.78,-0.20
-2.23,3.85,-0.51
-1.25,2.71,-0.37
0.90,2.07,-1.86
-0.12,-0.02,-2.81
-0.35,-1.97,0.06
0.08,-0.16,3.05
1.23,1.02,0.00
1.74,0.23,1.80
-1.89,0.10,-0.39
0.21,1.11,-1.43
1.17,-1.58,-2.48
0.80,1.04,-3.38
-1.89,1.19,-1.74
-0.25,-0.88,2.13
0.66,-0.14,-0.74
1.13,2.25,1.45
-1.97,1.87,-0.21
0.86,-3.61,0.04
0.29,-2.93,-1.33
1.45,-0.35,1.15
3.34,0.02,4.34
0.04,-1.29,3.85
-1.87,-1.21,6.02
-0.78,-4.26,3.32
0.59,-2.73,2.07
0.20,0.21,-0.47
0.08,2.15,1.60
2.05,0.08,3.96
3.79,3.61,2.75
0.29,0.68,-1.84
-2.36,0.27,-2.15
-0.96,-2.23,-4.55
0.25,-5.29,-4.24
-1.00,-5.02,-3.28
1.60,-2.75,-4.57
-2.05,-3.16,-3.01
-1.95,1.21,-0.18
1.33,-1.35,2.52
1.84,0.18,2.95
2.34,1.89,0.66
0.72,-0.06,1.45
-1.50,2.19,1.35
0.31,0.76,-1.02
0.76,1.62,-1.00
1.50,-0.23,-0.37
-0.12,-1.62,-1.02
0.68,-0.14,2.05
-0.86,-3.55,-0.21
0.86,0.31,-0.16
0.10,-0.06,1.64
0.04,-0.06,0.39
-2.11,0.18,-2.52
0.43,5.31,-3.81
2.44,2.97,-3.09
1.87,-0.02,-2.30
2.01,0.84,-0.29
0.98,0.35,-0.14
-1.62,1.68,-0.92
-1.29,0.76,-0.82
-0.90,-2.13,0.08
0.16,0.82,0.25
-1.25,1.29,1.76
-1.50,0.70,1.99
0.33,0.86,2.60
1.68,-0.49,-0.14
0.21,1.58,-1.21
0.64,-0.98,1.45
0.88,-1.91,0.25
1.35,-3.59,-2.13
0.00,-3.40,0.80
-1.23,0.02,-0.21
-2.46,0.39,-1.76
-1.25,1.54,-0.37
-1.37,0.02,-2.15
-0.94,-1.02,-1.82
-1.33,-1.27,-2.81
-0.74,-2.13,-3.36
0.02,-0.02,-2.34
0.88,0.29,0.57
3.16,-3.28,1.31
3.14,-1.15,1.68
2.11,-4.49,-0.16
-0.16,-2.25,-2.13
-0.06,1.02,-3.93
0.62,0.64,-1.87
-0.90,2.99,0.00
-1.56,-0.39,2.11
-2.13,0.33,3.42
-1.15,-3.38,2.52
-0.78,-2.56,1.35
-0.57,-2.34,-2.27
-0.57,-0.80,-6.78
1.39,0.59,-0.80
1.21,3.20,0.98
-0.84,-1.46,2.71
-0.49,-0.62,3.71
0.37,-1.70,2.68
-0.98,-4.02,4.30
1.31,-2.40,2.38
-0.20,-0.27,-2.17
0.27,-0.41,-0.10
0.21,-0.47,1.78
1.99,1.19,1.35
1.11,-1.02,1.70
0.72,-1.99,0.33
-2.11,-0.59,0.25
-3.59,0.96,1.78
-3.12,0.10,0.53
